Date,Price,,,,,
4/12/2023,47.40,,,,,
4/17/2023,48.00,,,,,
4/18/2023,48.00,,,,,
4/19/2023,48.00,,,,,
4/20/2023,47.50,,,,,
4/21/2023,47.50,,,,,
4/24/2023,47.50,,,,,
4/25/2023,47.30,,,,,
4/26/2023,47.00,,,,,
4/27/2023,46.10,,,,,
4/28/2023,45.00,,,,,
5/2/2023,42.50,,,,,
5/3/2023,43.50,,,,,
5/4/2023,44.90,,,,,
5/8/2023,43.20,,,,,
5/9/2023,43.40,,,,,
5/10/2023,44.00,,,,,
5/11/2023,44.50,,,,,
5/12/2023,44.90,,,,,
5/15/2023,44.00,,,,,
5/16/2023,44.00,,,,,
5/17/2023,44.00,,,,,
5/18/2023,44.90,,,,,
5/19/2023,44.70,,,,,
5/22/2023,43.00,,,,,
5/23/2023,44.90,,,,,
5/24/2023,44.60,,,,,
5/25/2023,43.60,,,,,
5/26/2023,43.00,,,,,
5/29/2023,42.00,,,,,
5/30/2023,42.20,,,,,
5/31/2023,43.00,,,,,
6/1/2023,43.90,,,,,
6/2/2023,43.00,,,,,
6/5/2023,45.00,,,,,
6/6/2023,44.50,,,,,
6/7/2023,42.60,,,,,
6/8/2023,43.10,,,,,
6/9/2023,44.00,,,,,
6/12/2023,44.00,,,,,
6/13/2023,46.80,,,,,
6/14/2023,47.00,,,,,
6/15/2023,46.80,,,,,
6/16/2023,45.70,,,,,
6/19/2023,44.60,,,,,
6/20/2023,44.60,,,,,
6/21/2023,44.50,,,,,
6/22/2023,46.40,,,,,
6/23/2023,44.60,,,,,
6/26/2023,46.10,,,,,
6/27/2023,46.10,,,,,
6/28/2023,47.00,,,,,
7/4/2023,52.00,,,,,
7/5/2023,52.00,,,,,
7/6/2023,51.30,,,,,
7/7/2023,52.10,,,,,
7/10/2023,51.90,,,,,
7/11/2023,51.90,,,,,
7/12/2023,53.00,,,,,
7/13/2023,54.00,,,,,
7/14/2023,55.00,,,,,
7/17/2023,55.00,,,,,
7/18/2023,57.00,,,,,
7/19/2023,56.40,,,,,
7/20/2023,58.00,,,,,
7/21/2023,58.00,,,,,
7/24/2023,57.00,,,,,
7/25/2023,55.50,,,,,
7/26/2023,55.30,,,,,
7/27/2023,56.20,,,,,
7/28/2023,55.30,,,,,
7/31/2023,55.20,,,,,
8/2/2023,54.20,,,,,
8/3/2023,55.10,,,,,
8/4/2023,55.20,,,,,
8/7/2023,54.90,,,,,
8/8/2023,55.60,,,,,
8/9/2023,55.00,,,,,
8/10/2023,56.40,,,,,
8/11/2023,56.00,,,,,
8/14/2023,54.40,,,,,
8/15/2023,55.10,,,,,
8/16/2023,55.80,,,,,
8/17/2023,57.30,,,,,
8/18/2023,58.00,,,,,
8/21/2023,58.10,,,,,
8/22/2023,58.50,,,,,
8/23/2023,57.20,,,,,
8/24/2023,57.00,,,,,
8/25/2023,58.50,,,,,
8/28/2023,58.30,,,,,
8/29/2023,57.50,,,,,
8/31/2023,57.10,,,,,
9/1/2023,55.20,,,,,
9/4/2023,58.50,,,,,
